,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE_OF_BUILDING,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others
34,5,1709,130,1,1,4,1,0,1,2,3,12928590,6,0,0,1
35,4,2114,46,3,2,5,4,1,1,2,3,17564820,21,1,0,0
36,0,1226,180,1,1,3,3,0,3,1,0,4971250,27,0,1,0
37,3,1648,111,2,1,4,1,1,1,1,1,9170660,13,0,0,1
38,2,856,36,1,1,3,4,1,2,2,5,10383420,26,0,0,1
39,1,904,52,1,1,3,4,0,0,0,5,11601400,40,1,0,0
40,2,1198,105,1,1,3,3,0,3,0,3,8249260,36,0,0,1
41,0,931,16,1,1,3,4,0,3,1,0,6944500,18,1,0,0
42,0,1290,86,1,1,3,4,1,3,1,3,7745000,48,0,1,0
43,0,507,49,1,1,2,2,1,0,2,3,5728000,46,0,1,0
44,4,2492,113,4,2,6,2,0,1,1,4,18725520,16,1,0,0
45,0,851,105,1,1,2,0,0,3,0,1,3572250,29,0,1,0
46,6,1882,189,2,1,5,2,1,0,2,5,16051580,21,0,0,1
47,5,1710,15,1,1,4,3,1,3,2,3,20215970,11,1,0,0
48,0,1412,28,2,2,4,4,0,0,2,4,8379000,28,0,1,0
49,1,779,51,1,1,2,3,0,2,0,1,5290635,9,0,1,0
50,6,1655,19,1,1,4,2,0,3,2,3,12548930,34,0,0,1
51,0,940,167,1,1,3,4,0,3,1,3,5857750,49,0,1,0
52,4,1667,126,2,1,4,0,1,1,1,5,10729700,5,0,1,0
53,4,1926,49,3,2,5,1,1,1,1,5,17006780,9,1,0,0
54,1,718,75,1,1,2,0,1,0,0,1,5570050,30,0,0,1
55,0,545,154,1,1,2,0,0,0,0,3,3854375,30,0,0,1
56,0,1249,25,1,1,3,4,1,0,2,3,8594875,36,0,0,1
57,6,1894,187,2,1,5,0,1,2,2,4,13549250,45,0,1,0
58,0,1469,200,2,2,4,2,0,2,0,1,9480750,5,1,0,0
59,1,916,32,1,1,3,3,1,0,0,0,5847520,28,0,1,0
60,2,934,11,1,1,3,4,1,1,1,5,9710900,22,0,1,0
61,0,1691,100,2,2,4,2,0,1,2,5,9398750,31,0,1,0
62,0,1236,36,1,1,3,3,0,2,1,2,8806250,39,1,0,0
63,6,1577,23,1,1,4,0,1,1,1,3,12087330,36,0,0,1
64,5,1915,13,2,1,5,0,1,1,2,3,14175620,41,0,0,1
65,5,1600,154,1,1,4,1,1,0,2,3,11920820,21,0,1,0
66,3,1579,58,2,1,4,2,1,0,1,2,13364730,24,1,0,0
67,1,1260,89,2,2,4,0,0,1,0,0,6922975,25,0,0,1
68,1,1021,176,1,1,3,3,0,1,1,2,11673175,5,1,0,0
69,4,2174,48,3,2,5,1,1,3,1,5,13069740,23,0,0,1
70,5,1589,39,1,1,4,0,0,3,2,4,12212350,44,0,0,1
71,1,668,177,1,1,2,2,1,1,2,2,10283575,5,1,0,0
72,3,1724,116,2,1,4,2,1,0,0,4,8956480,54,0,1,0
73,1,890,116,1,1,3,2,1,2,1,1,7187350,30,0,1,0
74,1,1218,51,2,2,4,3,0,3,0,2,12574850,30,1,0,0
75,5,1792,41,1,1,4,1,1,0,2,5,13906270,21,0,1,0
76,0,1378,192,2,2,4,4,0,2,2,5,9917500,9,0,0,1
77,0,898,72,1,1,3,0,1,2,1,3,8629750,29,1,0,0
78,5,1928,148,2,1,5,0,0,3,0,3,11667050,10,0,1,0
79,2,1233,24,2,1,4,2,0,1,2,5,9817150,33,0,1,0
80,3,1618,100,2,1,4,4,1,2,1,1,9263050,40,0,0,1
81,0,627,49,1,1,2,1,0,2,2,5,6587500,28,0,1,0
82,3,1563,43,2,1,4,1,0,1,2,5,9799360,28,0,1,0
83,0,1693,187,2,2,4,3,1,2,2,1,12801500,6,1,0,0
84,6,1522,85,1,1,4,0,0,3,2,4,17454510,43,1,0,0
85,1,1090,171,1,1,3,0,1,1,2,3,9832420,28,0,0,1
86,2,1085,149,1,1,3,2,1,2,2,4,14363500,6,1,0,0
87,6,1687,73,1,1,4,2,0,2,1,3,12476770,13,0,0,1
88,1,692,62,1,1,2,3,1,3,1,3,10381355,37,1,0,0
89,6,1518,145,1,1,4,1,1,3,1,3,17600240,37,1,0,0
90,1,1025,125,1,1,3,0,0,1,1,2,10934875,25,1,0,0
91,4,2170,121,3,2,5,1,1,2,2,4,12372160,8,0,1,0
92,2,969,70,1,1,3,1,1,0,0,3,11248750,17,1,0,0
93,4,1546,129,2,1,4,2,0,3,2,5,14241140,27,1,0,0
94,4,1709,6,2,1,4,2,1,1,1,4,10160600,20,0,1,0
95,6,1659,103,1,1,4,4,1,1,0,4,13539080,18,0,0,1
96,2,755,8,1,1,2,3,0,0,2,5,10727750,33,1,0,0
97,1,1182,50,1,1,3,3,1,3,0,4,9867055,17,0,1,0
98,1,735,67,1,1,2,4,0,1,0,3,9478710,14,1,0,0
99,2,1089,0,1,1,3,3,1,0,1,4,9050200,32,0,1,0
100,3,1534,6,2,1,4,0,1,0,1,1,7904210,53,0,0,1
101,5,1622,147,1,1,4,1,1,0,2,4,13063450,5,0,1,0
102,4,2198,71,3,2,5,0,1,2,2,5,13584980,21,0,0,1
103,2,1293,34,2,1,4,3,0,0,0,4,13116050,39,1,0,0
104,4,1641,178,2,1,4,0,0,3,2,4,10012600,29,0,0,1
105,3,1950,185,3,2,5,4,1,1,1,4,12105920,41,0,0,1
106,0,1245,106,1,1,3,0,0,1,1,0,4918375,28,0,0,1
107,2,905,144,1,1,3,1,0,0,2,3,7703200,33,0,0,1
108,4,1496,135,2,1,4,1,0,2,2,3,8569080,14,0,1,0
109,3,1892,38,3,2,5,4,1,0,2,5,12146620,36,0,1,0
110,3,1517,40,2,1,4,1,0,0,1,1,11671620,11,1,0,0
111,1,1034,73,1,1,3,4,1,0,2,1,9256740,16,0,0,1
112,3,1755,142,2,1,4,1,1,2,2,2,14915900,35,1,0,0
113,5,1622,79,1,1,4,4,1,1,1,5,13547790,7,0,1,0
114,2,1092,89,1,1,3,3,0,3,0,3,8213040,4,0,0,1
115,2,821,34,1,1,3,4,0,1,1,3,7304000,8,0,1,0
116,4,1694,72,2,1,4,1,0,1,2,4,10390900,11,0,0,1
117,5,1809,177,2,1,5,1,0,3,0,4,19206870,26,1,0,0
118,0,1401,20,2,2,4,0,1,3,2,4,9965375,14,0,0,1
119,0,1470,99,2,2,4,2,0,2,0,3,7207000,25,0,0,1
120,2,798,166,1,1,2,0,0,2,1,3,9070550,37,1,0,0
121,2,764,137,1,1,2,0,0,0,0,3,5670200,8,0,1,0
122,2,1135,50,1,1,3,2,0,2,0,5,9253200,23,0,0,1
123,0,939,74,1,1,3,2,0,0,0,2,4294000,38,0,1,0
124,0,1586,59,2,2,4,3,1,2,2,5,14316000,28,1,0,0
125,6,1973,63,2,1,5,1,1,3,2,5,23307000,35,1,0,0
126,2,1023,44,1,1,3,0,1,3,1,5,9735150,17,0,1,0
127,2,884,75,1,1,3,3,0,2,0,5,11336400,4,1,0,0
128,5,1640,113,1,1,4,4,0,0,0,3,17701600,5,1,0,0
129,1,622,60,1,1,2,3,0,0,0,4,6572900,20,0,0,1
130,5,1880,90,2,1,5,0,1,1,0,5,13423020,16,0,1,0
131,4,2413,166,4,2,6,2,0,1,1,5,13122040,9,0,0,1
132,6,1649,169,1,1,4,4,0,3,2,3,18939100,25,1,0,0
133,3,1729,144,2,1,4,0,1,2,1,0,12803570,41,1,0,0
134,6,1942,10,2,1,5,1,0,1,2,3,12330740,37,0,1,0
135,2,711,116,1,1,2,4,1,1,0,4,8050270,12,0,0,1
136,2,885,122,1,1,3,1,0,0,0,5,7194600,32,0,1,0
137,4,1688,148,2,1,4,2,1,2,2,5,11412700,15,0,1,0
138,1,1236,108,2,2,4,1,0,0,2,0,12035355,37,1,0,0
139,0,926,98,1,1,3,1,0,0,2,4,6877000,20,0,1,0
140,4,1686,57,2,1,4,2,0,1,1,5,10346400,24,0,0,1
141,0,1344,129,2,2,4,4,0,2,2,3,10809500,50,1,0,0
142,4,1437,104,2,1,4,1,0,3,2,5,10200600,23,0,0,1
143,0,1430,17,2,2,4,2,1,2,0,0,6635750,10,0,0,1
144,1,1081,85,1,1,3,1,0,3,0,1,6190150,30,0,1,0
145,0,1352,1,2,2,4,3,1,0,2,0,6507250,27,0,1,0
146,4,1986,109,3,2,5,3,0,3,2,5,11350400,30,0,1,0
147,5,1758,164,1,1,4,0,1,3,0,4,19285540,42,1,0,0
148,0,607,121,1,1,2,3,0,1,2,4,5856625,46,0,0,1
149,4,2139,136,3,2,5,3,1,2,1,4,12472000,21,0,0,1
150,4,1488,97,2,1,4,0,0,3,1,3,8441900,27,0,0,1
151,3,1645,96,2,1,4,0,0,1,0,3,7579320,26,0,1,0
152,2,950,177,1,1,3,3,1,1,2,4,9759000,26,0,0,1
153,2,928,90,1,1,3,0,1,3,2,3,12423800,4,1,0,0
154,3,1693,145,2,1,4,3,1,2,1,5,15495760,53,1,0,0
155,3,1873,0,3,2,5,1,1,0,0,4,11022270,21,0,0,1
156,1,721,145,1,1,2,0,0,1,1,4,7605550,10,0,0,1
157,0,1190,37,1,1,3,1,1,2,2,3,7967750,29,0,1,0
158,4,1593,9,2,1,4,0,0,3,1,3,8946800,17,0,0,1
159,2,786,181,1,1,2,2,1,0,2,4,9244820,12,0,0,1
160,2,1195,93,1,1,3,4,0,1,1,4,9821600,19,0,0,1
161,3,1824,187,3,2,5,3,0,2,1,2,8549060,33,0,1,0
162,4,1906,81,3,2,5,2,1,1,1,3,15852740,7,1,0,0
163,1,656,20,1,1,2,2,0,3,1,2,8757635,9,1,0,0
164,2,727,84,1,1,2,2,0,0,2,5,8415990,16,0,0,1
165,1,931,37,1,1,3,1,1,0,1,5,9935595,33,0,0,1
166,3,1898,108,3,2,5,4,1,0,0,5,16617860,38,1,0,0
167,5,1698,15,1,1,4,1,0,1,2,5,12412050,40,0,1,0
168,6,1926,193,2,1,5,4,1,2,0,5,22630540,17,1,0,0
169,0,1481,144,2,2,4,0,1,3,1,0,9901500,38,1,0,0
170,5,1506,122,1,1,4,1,0,0,0,5,10449910,33,0,1,0
171,2,1020,95,1,1,3,1,0,1,0,5,7948600,24,0,1,0
172,2,889,196,1,1,3,2,0,0,2,5,9098680,21,0,0,1
173,2,1015,147,1,1,3,1,1,3,1,3,8342850,35,0,1,0
174,6,1682,78,1,1,4,2,0,3,2,3,18662350,35,1,0,0
175,2,869,39,1,1,3,1,0,2,0,5,8172630,18,0,0,1
176,0,1445,20,2,2,4,1,0,1,0,2,5856500,24,0,1,0
177,5,1919,178,2,1,5,0,1,1,2,5,14704160,13,0,1,0
178,1,1243,141,2,2,4,3,1,1,1,1,13360440,36,1,0,0
179,0,857,158,1,1,2,3,0,0,1,2,4928250,17,0,1,0
180,0,1055,174,1,1,3,4,1,1,2,2,7315125,48,0,0,1
181,4,1778,94,3,2,5,1,0,2,2,4,10998320,8,0,0,1
182,0,851,124,1,1,2,4,0,0,1,0,3936375,41,0,0,1
183,2,1021,82,1,1,3,0,1,2,0,4,9201770,4,0,0,1
184,4,2203,76,3,2,5,2,1,2,1,4,17891240,22,1,0,0
185,0,613,81,1,1,2,1,0,2,0,2,5144500,30,1,0,0
186,1,738,69,1,1,2,0,0,2,0,2,8312670,18,1,0,0
187,0,1489,177,2,2,4,4,0,0,2,3,8007250,29,0,1,0
188,0,795,73,1,1,2,2,1,2,2,5,8479250,9,0,1,0
189,3,1909,11,3,2,5,1,1,3,2,0,10129160,33,0,0,1
190,2,1252,190,2,1,4,1,0,3,0,5,9482200,12,0,1,0
191,0,1077,144,1,1,3,2,0,0,1,5,9846750,33,1,0,0
192,4,1524,73,2,1,4,3,0,2,1,3,8675820,27,0,0,1
193,2,1049,36,1,1,3,0,1,0,2,5,10262450,11,0,1,0
194,3,1780,194,2,1,4,2,0,3,2,1,8671050,55,0,0,1
195,2,946,14,1,1,3,4,0,0,0,4,11165550,17,1,0,0
196,2,906,116,1,1,3,0,1,2,2,5,9464800,32,0,1,0
197,4,2344,71,4,2,6,2,0,1,2,5,18849880,24,1,0,0
198,1,929,76,1,1,3,4,1,1,1,3,9480425,15,0,0,1
199,5,1843,158,2,1,5,4,0,0,0,4,12264750,15,0,1,0
200,5,1918,187,2,1,5,0,1,3,2,4,21875050,35,1,0,0
201,4,1507,54,2,1,4,3,1,3,1,3,13538580,19,1,0,0
202,4,1499,89,2,1,4,1,0,3,2,3,8876320,6,0,1,0
203,4,1526,64,2,1,4,3,1,3,1,3,13645040,22,1,0,0
204,5,1855,82,2,1,5,2,1,2,1,3,20996200,10,1,0,0
205,0,1627,39,2,2,4,3,1,0,1,3,9071125,30,0,0,1
206,3,1846,28,3,2,5,2,0,3,2,5,10815830,39,0,1,0
207,4,2019,65,3,2,5,2,1,2,1,5,12802500,16,0,0,1
208,0,1578,153,2,2,4,3,1,3,2,2,9532500,13,0,0,1
209,3,1780,115,2,1,4,1,1,1,0,1,13346700,25,1,0,0
210,0,662,148,1,1,2,0,0,1,0,1,4356500,38,1,0,0
211,2,1005,17,1,1,3,1,0,2,2,4,12257100,26,1,0,0
212,0,839,102,1,1,2,0,0,1,1,1,4100500,20,0,1,0
213,5,1698,76,1,1,4,0,0,3,0,5,11527430,34,0,1,0
214,1,878,16,1,1,3,0,1,2,1,0,6452785,19,0,1,0
215,2,835,77,1,1,3,0,1,0,1,5,8434750,37,0,1,0
216,2,911,84,1,1,3,0,1,0,0,3,7427820,33,0,0,1
217,3,1796,176,2,1,4,4,1,0,0,3,9105350,50,0,1,0
218,0,1004,182,1,1,3,4,0,0,0,1,4721500,28,0,0,1
219,5,1694,86,1,1,4,3,0,1,1,4,12575010,27,0,0,1
220,0,1244,50,1,1,3,2,1,3,2,2,7952750,31,0,0,1
221,0,588,163,1,1,2,0,0,3,1,4,5705500,24,0,0,1
222,4,2342,69,4,2,6,4,1,2,1,4,12898740,7,0,1,0
223,3,1835,88,3,2,5,3,0,3,1,4,10722580,29,0,0,1
224,5,1977,84,2,1,5,0,1,3,2,4,14102960,43,0,1,0
225,4,1961,104,3,2,5,2,1,1,2,5,17612900,15,1,0,0
226,3,1517,82,2,1,4,3,1,2,0,0,7146890,12,0,1,0
227,4,2409,103,4,2,6,0,1,1,2,4,13476480,25,0,0,1
228,3,1864,187,3,2,5,0,0,0,2,3,15100560,23,1,0,0
229,3,1643,52,2,1,4,1,1,3,1,5,15599020,31,1,0,0
230,1,1015,76,1,1,3,1,1,2,0,1,11224620,8,1,0,0
231,5,1700,135,1,1,4,3,1,2,0,3,12477040,32,0,0,1
232,0,624,34,1,1,2,1,0,0,0,1,4396250,31,1,0,0
233,2,980,84,1,1,3,3,0,2,1,4,11900750,17,1,0,0
234,0,1003,196,1,1,3,2,1,1,2,3,10090000,20,1,0,0
235,1,1072,66,1,1,3,1,1,1,0,0,6607690,6,0,1,0
236,0,808,119,1,1,2,4,0,1,2,1,4752250,35,0,1,0
237,2,1027,131,1,1,3,3,0,0,1,3,7441350,21,0,1,0
238,0,696,84,1,1,2,3,0,1,2,4,6441250,11,0,1,0
239,3,1716,86,2,1,4,1,1,0,1,4,10359860,8,0,1,0
240,3,1878,18,3,2,5,1,0,3,1,1,14328720,6,1,0,0
241,4,1699,98,2,1,4,3,1,1,2,4,11444100,16,0,0,1
242,4,1626,188,2,1,4,2,0,3,1,5,9680280,24,0,1,0
243,4,1730,200,2,1,4,3,0,2,2,4,14739360,18,1,0,0
244,2,996,78,1,1,3,1,0,0,2,4,8939620,22,0,0,1
245,2,1277,111,2,1,4,4,1,3,0,5,15710400,16,1,0,0
246,2,906,64,1,1,3,3,0,1,1,3,10226600,32,1,0,0
247,5,1976,112,2,1,5,0,0,1,1,4,12300050,39,0,1,0
248,3,1776,120,2,1,4,3,1,1,1,3,9989170,21,0,1,0
249,0,1402,112,2,2,4,3,0,1,2,2,6966500,30,0,1,0
250,2,1160,138,1,1,3,4,1,3,0,3,9463900,30,0,0,1
251,3,1957,134,3,2,5,3,1,0,0,2,15199450,25,1,0,0
252,6,1887,48,2,1,5,4,0,2,0,4,20499450,20,1,0,0
253,3,1859,142,3,2,5,3,1,0,1,3,9925210,48,0,1,0
254,2,747,168,1,1,2,1,1,3,0,5,11223550,5,1,0,0
255,1,985,159,1,1,3,0,1,1,1,1,7379505,7,0,1,0
256,2,1024,77,1,1,3,3,1,3,0,3,12091400,16,1,0,0
257,3,1600,148,2,1,4,1,1,0,1,4,10530200,25,0,0,1
258,2,1276,141,2,1,4,3,0,1,1,4,9604120,36,0,0,1
259,2,1159,90,1,1,3,1,1,0,2,3,9062800,36,0,1,0
260,0,1024,142,1,1,3,2,1,1,0,1,4748500,50,0,1,0
261,1,1249,93,2,2,4,4,0,2,1,0,12642285,19,1,0,0
262,2,839,175,1,1,3,3,1,3,2,3,9107430,16,0,0,1
263,2,1286,105,2,1,4,2,0,3,0,5,9153300,34,0,1,0
264,4,2467,69,4,2,6,4,0,3,2,4,12650920,16,0,1,0
265,0,653,121,1,1,2,4,0,0,0,5,7635250,15,1,0,0
266,0,606,4,1,1,2,1,1,1,2,5,7854000,17,0,0,1
267,6,1837,81,2,1,5,4,1,0,0,4,13197230,29,0,1,0
268,3,1880,95,3,2,5,1,1,1,0,1,13669670,46,1,0,0
269,4,2189,1,3,2,5,4,1,3,2,3,18249860,23,1,0,0
270,3,1853,123,3,2,5,4,1,2,1,1,14707330,49,1,0,0
271,2,1057,200,1,1,3,3,0,3,1,4,9144840,17,0,0,1
272,1,723,49,1,1,2,1,0,0,2,5,10969920,28,1,0,0
273,6,1812,100,2,1,5,1,0,0,0,4,12248640,44,0,0,1
274,6,1788,145,1,1,4,4,1,0,0,4,14225180,17,0,0,1
275,3,1615,31,2,1,4,2,0,0,1,2,8019280,19,0,1,0
276,5,1755,85,1,1,4,4,0,2,0,4,11410310,43,0,1,0
277,1,1296,25,2,2,4,1,0,3,0,5,9950600,20,0,1,0
278,4,1554,18,2,1,4,2,1,1,1,4,9980320,6,0,1,0
279,5,1737,71,1,1,4,4,1,3,2,4,14292780,9,0,1,0
280,0,785,116,1,1,2,1,1,3,0,2,5752875,12,0,0,1
281,0,1678,70,2,2,4,0,1,1,2,1,11883250,35,1,0,0
282,4,2360,171,4,2,6,3,1,2,1,5,19816180,9,1,0,0
283,4,1464,2,2,1,4,1,1,2,1,3,9394640,28,0,0,1
284,4,1632,156,2,1,4,0,1,3,2,3,10506420,19,0,0,1
285,3,1755,103,2,1,4,2,1,0,0,1,8762820,26,0,0,1
286,3,1556,105,2,1,4,0,0,1,1,4,9348100,20,0,0,1
287,1,1170,120,1,1,3,4,0,1,2,3,9134740,36,0,1,0
288,1,901,106,1,1,3,0,0,3,2,2,7643255,37,0,0,1
289,0,1160,184,1,1,3,0,1,1,2,0,8886250,19,1,0,0
290,0,1570,170,2,2,4,1,1,2,0,0,6407000,8,0,1,0
291,0,1476,167,2,2,4,2,0,2,1,4,11536000,32,1,0,0
292,0,586,190,1,1,2,1,1,0,1,2,5333000,19,0,0,1
293,0,1059,110,1,1,3,3,1,3,1,4,7849250,33,0,1,0
294,6,1712,1,1,1,4,2,1,2,2,4,13797720,6,0,1,0
295,1,847,7,1,1,3,0,0,1,2,3,7492300,39,0,0,1
296,0,1192,152,1,1,3,1,0,2,0,2,5342250,23,0,1,0
297,3,1942,126,3,2,5,0,1,3,0,4,16212650,25,1,0,0
298,0,557,105,1,1,2,1,1,0,0,2,4710125,17,0,0,1
299,3,1728,123,2,1,4,3,1,0,2,2,14898480,19,1,0,0
300,3,1798,23,2,1,4,1,1,3,2,5,17060380,29,1,0,0
301,0,1497,24,2,2,4,0,1,3,2,0,6931750,35,0,1,0
302,2,1173,27,1,1,3,3,1,1,0,3,8196400,32,0,1,0
303,5,1640,198,1,1,4,0,1,2,0,3,17704670,36,1,0,0
304,4,1747,82,2,1,4,0,1,1,1,4,10784680,17,0,0,1
305,0,1342,183,2,2,4,2,1,0,0,2,9594250,43,1,0,0
306,6,2000,31,2,1,5,4,0,2,0,5,13596890,27,0,1,0
307,3,1987,158,3,2,5,1,0,1,2,3,11156320,11,0,0,1
308,0,1567,2,2,2,4,1,0,3,2,1,7725875,17,0,0,1
309,0,1188,187,1,1,3,0,0,3,0,5,9819500,34,1,0,0
310,1,737,12,1,1,2,1,0,2,0,0,3869180,32,0,1,0
311,0,785,63,1,1,2,4,1,1,1,1,5852625,13,0,0,1
312,4,2078,13,3,2,5,2,0,1,1,3,9696820,21,0,1,0
313,1,647,45,1,1,2,1,1,3,0,3,9574550,10,1,0,0
314,0,1171,111,1,1,3,4,1,3,0,0,6102625,16,0,0,1
315,4,2435,124,4,2,6,0,1,2,2,5,20246360,18,1,0,0
316,3,1805,29,3,2,5,4,1,3,1,4,16930470,16,1,0,0
317,0,1145,38,1,1,3,3,0,3,2,0,5510250,17,0,1,0
318,0,971,15,1,1,3,3,0,3,1,4,6530500,28,0,1,0
319,0,1657,78,2,2,4,2,1,1,2,4,10147125,39,0,0,1
320,3,1638,16,2,1,4,4,1,2,0,3,9705900,5,0,1,0
321,1,1284,141,2,2,4,3,1,0,1,4,16107475,5,1,0,0
322,1,1273,66,2,2,4,2,0,0,0,0,7451690,6,0,0,1
323,2,1185,188,1,1,3,3,1,0,2,4,10163000,20,0,1,0
324,6,1538,161,1,1,4,1,1,2,2,4,19376950,5,1,0,0
325,4,1929,84,3,2,5,3,0,3,1,3,10173980,30,0,0,1
326,4,1656,30,2,1,4,2,1,2,1,5,10910100,15,0,1,0
327,1,1287,9,2,2,4,1,1,1,2,2,15013625,15,1,0,0
328,6,1749,118,1,1,4,2,0,1,0,3,11713410,32,0,0,1
329,5,1585,188,1,1,4,1,0,3,0,4,17382790,17,1,0,0
330,6,1962,180,2,1,5,3,1,2,1,5,15862990,34,0,0,1
331,4,1425,106,2,1,4,3,0,2,1,4,8677280,14,0,1,0
332,0,884,11,1,1,2,3,1,2,1,2,8282500,26,1,0,0
333,2,1052,159,1,1,3,3,0,2,0,3,7926740,10,0,0,1
334,6,1756,12,1,1,4,0,0,1,2,4,12093570,31,0,1,0
335,0,523,148,1,1,2,2,1,3,2,5,7390000,38,0,1,0
336,3,1524,33,2,1,4,1,1,2,1,5,11053290,22,0,0,1
337,6,1949,137,2,1,5,0,1,2,0,5,14464930,43,0,0,1
338,2,1263,61,2,1,4,4,0,1,2,4,10637010,22,0,0,1
339,4,1917,106,3,2,5,1,1,3,1,4,11045960,18,0,1,0
340,4,1401,100,2,1,4,0,0,1,1,3,7410200,20,0,1,0
341,2,723,8,1,1,2,1,0,3,2,5,8645860,17,0,0,1
342,6,1660,156,1,1,4,3,0,1,1,3,17787740,37,1,0,0
343,2,895,191,1,1,3,0,1,0,2,3,8514750,5,0,1,0
344,5,1889,160,2,1,5,0,1,0,2,5,13841050,45,0,1,0
345,2,1199,187,1,1,3,4,0,2,1,3,9160580,25,0,0,1
346,0,782,95,1,1,2,4,1,3,0,2,7794500,14,1,0,0
347,5,1571,124,1,1,4,0,1,2,1,4,12946530,25,0,0,1
348,4,1848,178,3,2,5,3,1,2,1,4,15883280,24,1,0,0
349,2,1131,64,1,1,3,4,1,2,0,4,10089670,20,0,0,1
350,0,1062,15,1,1,3,4,1,3,0,0,5335750,21,0,1,0
351,4,1983,148,3,2,5,4,1,3,1,5,12126880,24,0,1,0
352,3,1572,1,2,1,4,4,0,2,2,1,8165450,20,0,1,0
353,5,1535,149,1,1,4,1,0,0,2,3,11484740,32,0,0,1
354,6,1818,193,2,1,5,3,1,1,2,5,22024740,32,1,0,0
355,4,1484,54,2,1,4,0,1,2,2,3,9771020,27,0,0,1
356,4,2189,60,3,2,5,4,0,2,2,3,12071880,15,0,0,1
357,2,1203,171,2,1,4,0,0,3,0,4,12925550,17,1,0,0
358,4,1610,140,2,1,4,0,1,3,2,5,15387480,24,1,0,0
359,1,863,26,1,1,3,2,1,1,1,0,6637005,7,0,1,0
360,0,985,61,1,1,3,0,0,3,2,4,7446875,20,0,0,1
361,0,1623,47,2,2,4,2,0,3,1,3,11658500,38,1,0,0
362,1,1019,153,1,1,3,0,0,0,2,1,6663435,29,0,1,0
363,0,1575,4,2,2,4,1,1,1,1,5,9894250,9,0,1,0
364,2,802,161,1,1,3,2,0,1,0,5,7968490,9,0,0,1
365,6,1846,190,2,1,5,3,0,2,0,3,12403760,34,0,0,1
366,2,759,131,1,1,2,4,0,3,1,4,8149280,15,0,0,1
367,4,2060,159,3,2,5,2,0,2,1,4,16012600,30,1,0,0
368,4,1503,183,2,1,4,0,1,1,2,5,11121040,19,0,0,1
369,3,1853,17,3,2,5,0,1,1,0,4,9462230,49,0,1,0
370,6,1739,16,1,1,4,4,1,1,1,4,20477590,37,1,0,0
371,0,766,38,1,1,2,1,1,1,1,5,8755500,50,1,0,0
